question_text,option_a,option_b,option_c,option_d,correct_answer,time_limit
Vua Hung Vuong thu nhat la vua cua nuoc nao?,Viet Nam,Chau Au,Thai Lan,Trungg Quoc,Viet Nam,30
Doc lap la chi tieu manh nhat cua quoc gia?,Dung,Sai,,,Dung,20
Thanh lap cong hoa xa hoi chu nghia Viet Nam nam nao?,1975,1976,1977,1978,1975,30
Ho Chi Minh la thanh lap ra tai dau?,Tay Bac,Vung Tau,Tay Nguyen,Dong Bang Song Co,Tay Bac,30
Ngai vuong Tran Hung Dao la chi huy tran nao?,Chi chi Man Thuc,Tran Bac Giang,Tran Bach Dang,Tran Huong Giang,Tran Bach Dang,30
Quoc ky Viet Nam co Sao La Vang o giua dung hay sai?,Dung,Sai,,,Dung,20
Anh Quoc co vua hay co vuong?,Co vuong,Co vua,Co ca hai,Khong co,Co vuong,30
Phap la nuoc co vua hay tong thong?,Tong thong,Vua,Ca hai,Khong co,Tong thong,30
Duc Anh Phap giai doan nay co he thong chinh phu nao?,Dan chu,Quoc hoang,Xa hoi chu nghia,Dieu hanh,Dan chu,30
Trungg Quoc do ai dieu hanh hien nay?,Tong Bi Thu,Chu Tich,Tong Thong,Thu Tuong,Tong Bi Thu,30
Quoc tich la gi?,Dang ky thanh vien cua mot quoc gia,Dia diem o nuoc nay,Tinh trang phu nu,Sac toc cua dan toc,Dang ky thanh vien cua mot quoc gia,30
Hop Phap La Quoc Lien Hop Quoc quoc tich,1945,1950,1948,1955,1945,30
Mi Ma Tai di thanh thanh pho lon nhat My?,Boston,Chicago,New York,Los Angeles,New York,30
Tay Ban Nha la nuoc o chau nao?,Chau Au,Chau A,Chau Phi,Chau My,Chau Au,30
Doi tac hang dau cua My la ai?,Canada,Chau Au,Nhat Ban,Anh,Canada,30
Chau Uc la chau co dan so it nhat the gioi?,Dung,Sai,,,Dung,20
Chu Tich Can Ty Lien Hop Quoc duoc chon trong bao lau?,5 nam,4 nam,3 nam,2 nam,5 nam,30
Co the ty le cua Lien Hop Quoc la gi?,192 nuoc,195 nuoc,193 nuoc,190 nuoc,193 nuoc,30
Tinh do Bac Lat cua Ha Noi la bao nhieu?,21,20,22,23,21,30
Tinh do Dong Kinh o thanh pho Ho Chi Minh?,106,107,108,109,106,30
Song Chay la song chay qua nuoc nao la tinh cua Viet Nam?,Quang Tri,Quang Binh,Ha Tinh,Nghe An,Quang Binh,30
Nui Fansipan la nui cao nhat Viet Nam o dau?,Lai Chau,Dien Bien,Sa Pa,Moc Chau,Lai Chau,30
Thu do cua Lao la?,Vientiane,Luang Prabang,Savannakhet,Pakse,Vientiane,30
Thu do cua Campuchia la?,Phnom Penh,Siem Reap,Battambang,Kompong Som,Phnom Penh,30
Thu do cua Thai Lan la?,Bangkok,Chiang Mai,Phuket,Krabi,Bangkok,30
Thanh pho lon nhat Nhat Ban la?,Tokyo,Osaka,Yokohama,Kyoto,Tokyo,30
Thu do cua Han Quoc la?,Seoul,Busan,Daegu,Daejeon,Seoul,30
Thu do cua Canh Tay la?,Hanoi,Bangkok,Vientiane,Ho Chi Minh,Hanoi,30
Quoc gia nao o chau An co dan so lon nhat?,An Do,Trungg Quoc,Indonesia,Pakistan,An Do,30
Nuoc nao o chau An co GDP cao nhat?,Trungg Quoc,Nhat Ban,An Do,Han Quoc,Trungg Quoc,30
Nuoc nao o chau Au co GDP cao nhat?,Duc,Phap,Anh,Italia,Duc,30
Nuoc nao o chau My co GDP cao nhat?,My,Canada,Brazil,Mexico,My,30
Nuoc nao o chau Phi co GDP cao nhat?,Nam Phi,Ai Cap,Nigeria,Kenya,Nam Phi,30
Tac dung chinh cua co the la gi?,Phat sinh nang luong,Luu tru nang luong,Tao ra khong khi,Lam mat,Phat sinh nang luong,30
Khoang cach tu Trai Dat den Mat Troi bao nhieu?,150 trieu km,100 trieu km,200 trieu km,250 trieu km,150 trieu km,30
Trai Dat co bao nhieu dai loc?,6 dai loc,7 dai loc,5 dai loc,8 dai loc,6 dai loc,30
Bien o trai dat co dien tich chiem bao nhieu phan tram?,70 phan tram,60 phan tram,80 phan tram,75 phan tram,70 phan tram,30
Trai Dat xoay quanh truc cua no de tao ra ngay dem lay bao nhieu gio?,24 gio,23 gio,25 gio,22 gio,24 gio,30
Trai Dat di quanh Mat Troi de tao ra nam lay bao nhieu ngay?,365 ngay,366 ngay,364 ngay,367 ngay,365 ngay,30
Mat Troi co duong kinh bao nhieu lan duong kinh Trai Dat?,109 lan,100 lan,150 lan,80 lan,109 lan,30
Sao Thu nhat cua Mat Troi duoc goi la gi?,Sao Thu,Sao Hang,Sao Moc,Sao Tho,Sao Thu,30
Sao nao la sao sang nhat troi dem va doi?,Sao Kim,Sao Thu,Sao Thuc,Sao Hang,Sao Kim,30
Sao Moc co bao nhieu via tu nhien?,79 via,82 via,67 via,88 via,79 via,30
Sao Tho co bao nhieu via tu nhien?,146 via,140 via,150 via,135 via,146 via,30
Tau vi tru dau tien lan le do trai dat la tai nho?,Sovjet,My,Phap,Anh,Sovjet,30
Nhan vat nao la nguoi dau tien tien hanh du hanh vu tru?,Yuri Gagarin,Alan Shepard,John Glenn,Wally Schirra,Yuri Gagarin,30
Nhan vat nao la nguoi dau tien di bo tren Mat Trang?,Neil Armstrong,Buzz Aldrin,Michael Collins,Pete Conrad,Neil Armstrong,30
Ky nghe tu trai dat den mat trang lay bao nhieu ngay?,3 ngay,2 ngay,4 ngay,5 ngay,3 ngay,30
Phan Khoa hoc la khoa hoc nhan ve gi?,Ve con nguoi,Ve dong vat,Ve co the song,Ve van de xa hoi,Ve con nguoi,30
Tam hon la dong vat nao?,Con tho,Con meo,Con ga,Con chim,Con tho,30
Con vat nao la dong vat to nhat the gioi?,Ca trang,Ca nha tang,Voi,Ho,Ca trang,30
Con chim nao bay nhanh nhat?,Chu y,Chim ung,Chim yen,Chim lang,Chu y,30
Cay nao o Viet Nam yeu cau sang nhat?,Cay Sinh The,Cay Hong,Cay Mai,Cay Hoa Anh Dao,Cay Sinh The,30
Hoa nao la hoa Quoc Gia cua Viet Nam?,Hoa Sung,Hoa Anh Dao,Hoa Hong,Hoa Dat,Hoa Sung,30
Mau co Hoa Sen da Viet Nam dang la gi?,Mau Do,Mau Vang,Mau Hong,Mau Trang,Mau Hong,30
Cu lac bo do Viet Nam co ten la gi?,Cu Lac Bo Chim Vang,Cu Lac Bo Duc Le,Cu Lac Bo Sinh The,Cu Lac Bo Tre Xanh,Cu Lac Bo Duc Le,30
Cay phu tho co tuoi tho la bao nhieu nam?,1000 nam,2000 nam,3000 nam,4000 nam,3000 nam,30
Nui lua hoan hoat o Viet Nam la nui nao?,Nui Ta Chu,Nui Ba,Nui Lang,Nui Den,Nui Ta Chu,30
Dien tich Viet Nam da bao nhieu km vuong?,331000 km,340000 km,345000 km,350000 km,331000 km,30
Dan so Viet Nam hien nay la bao nhieu trieu?,95 trieu,97 trieu,100 trieu,102 trieu,97 trieu,30
Toc do tang dan so cua Viet Nam la bao nhieu phan tram mot nam?,0.8,1,1.2,0.5,0.8,30
Vung Khon Kaen o chau A o dat nuoc nao?,Thai Lan,Lao,Campuchia,Vietnam,Thai Lan,30
Diem cao nhat cua My la nui nao?,Mt. McKinley,Mt. Rainier,Mt. Shasta,Mt. Whitney,Mt. McKinley,30
Diem cao nhat cua Canada la nui nao?,Mt. Logan,Mt. Robson,Mt. Columbia,Mt. Fairweather,Mt. Logan,30
Diem cao nhat cua Au la nui nao?,Mt. Blanc,Mt. Rosa,Mt. Matterhorn,Mt. Gran Paradiso,Mt. Blanc,30
Diem cao nhat cua Australia la nui nao?,Mt. Kosciuszko,Mt. Townsend,Mt. Southerend,Mt. Carleton,Mt. Kosciuszko,30
Thang Bach la dien tich dat phot o Viet Nam co dien tich bao nhieu ha?,15000 ha,12000 ha,18000 ha,20000 ha,15000 ha,30
Tam ly cua Viet Nam la gi?,San sang ho tro cac nuoc xung quanh,San sang ho tro toan cau,Day manh nang khong luc,Phat trien kinh te,San sang ho tro cac nuoc xung quanh,30
Dich vu chinh cua My hien nay la?,San xuat,Nong nghiep,Du lich,Tho tao,Dich vu,30
My san xuat bao nhieu phan tram san pham the gioi?,20,25,30,35,25,30
Trungg Quoc san xuat bao nhieu phan tram san pham the gioi?,15,20,25,30,25,30
Chau Au dung bao nhieu phan tram GDP the gioi?,40,35,30,45,35,30
Chau A dung bao nhieu phan tram GDP the gioi?,30,35,40,45,35,30
So o yeu to cua che do kinh te thi truong la bao nhieu?,2,3,4,5,4,30
So chi so macroeconomic chinh la bao nhieu?,5,6,7,8,6,30
Phuong huong trai dat quay quanh truc cua no la hau,Tay sang Dong,Dong sang Tay,Bac sang Nam,Nam sang Bac,Tay sang Dong,30
Thoi ky Ice Age gan day nhat la khi nao?,10000 nam truoc,5000 nam truoc,20000 nam truoc,1000 nam truoc,10000 nam truoc,30
Duong khi hau on dinh cua Trai Dat la bao nhieu can Celsius?,15 do,20 do,10 do,25 do,15 do,30
Phan tram O2 trong khi quy la bao nhieu?,21,20,25,30,21,30
Phan tram N2 trong khi quy la bao nhieu?,78,75,80,85,78,30
Vi du cua hoa hoc huu co la gi?,Duong,Axit Acetic,Ethanol,All are correct,Duong,30
Vi du cua hoa hoc vo co la gi?,Nước,Dia Oxit Cacbon,Muối,Axit Clohydric,Nước,30
He tho cua than la?, CH4,H2O,CO2,O2,CH4,30
Khong khi re mat la khong khi nao?,Khong khi hoan,Khong khi am,Khong khi kho,Khong khi nong,Khong khi hoan,30
Ap suat khi quay la bao nhieu Pascal o muc nuoc bien?,101325 Pa,100000 Pa,102000 Pa,103000 Pa,101325 Pa,30
Toc do am thanh trong khi la bao nhieu m/s o 20 do C?,343 m/s,300 m/s,350 m/s,400 m/s,343 m/s,30
Toc do chinh quanh o dai xich dao la bao nhieu m/s?,300000 km/s,300000 m/s,3000 m/s,30000 m/s,300000 m/s,30
Lan dau tien tim thay than la dioxid cacbon la ai?,Joseph Black,Daniel Rutherford,Henry Cavendish,Carl Wilhelm Scheele,Joseph Black,30
Lan dau tien phot hien axit clohydric chi la ai?,Jabir ibn Hayyan,Robert Boyle,Antoine Lavoisier,Henry Cavendish,Jabir ibn Hayyan,30
Ky hieu au la ky hieu cua kim loai nao?,Vang,Bac,Dong,Niken,Vang,30
Ky hieu ag la ky hieu cua kim loai nao?,Bac,Vang,Dong,Platin,Bac,30
Ky hieu cu la ky hieu cua kim loai nao?,Dong,Vang,Bac,Nickel,Dong,30
Ky hieu fe la ky hieu cua kim loai nao?,Sat,Dong,Vang,Niken,Sat,30
Ky hieu sn la ky hieu cua kim loai nao?,Thinh,Niken,Chrom,Mangan,Thinh,30
Ky hieu pb la ky hieu cua kim loai nao?,Chì,Thinh,Niken,Chrom,Chì,30
Ky hieu zn la ky hieu cua kim loai nao?,Kẽm,Chì,Thinh,Quang,Kẽm,30
Huong phan chia cua phan tu ta,Tay sang Dong,Dong sang Tay,Bac sang Nam,Nam sang Bac,Tay sang Dong,30
Huong phan chia cua khi hau Viet Nam,Dong Bac sang Tay Nam,Tay sang Dong,Bac sang Nam,Nam sang Bac,Dong Bac sang Tay Nam,30
Mua xuan o Viet Nam la thang may nay?,Thang 3 den thang 5,Thang 2 den thang 4,Thang 4 den thang 6,Thang 1 den thang 3,Thang 3 den thang 5,30
Mua he o Viet Nam la thang may nay?,Thang 5 den thang 9,Thang 6 den thang 8,Thang 4 den thang 8,Thang 7 den thang 9,Thang 5 den thang 9,30
Mua thu o Viet Nam la thang may nay?,Thang 9 den thang 11,Thang 8 den thang 10,Thang 10 den thang 12,Thang 9 den thang 12,Thang 9 den thang 11,30
Mua dong o Viet Nam la thang may nay?,Thang 11 den thang 2,Thang 12 den thang 3,Thang 10 den thang 1,Thang 11 den thang 1,Thang 11 den thang 2,30
Duong kinh cua Trai Dat la bao nhieu km?,12742 km,12000 km,13000 km,14000 km,12742 km,30
Sao Ho tang la co bao nhieu sao?,5,7,9,11,5,30
Chu ky cua Sao Tho la bao nhieu nam?,29.5 nam,30 nam,28 nam,31 nam,29.5 nam,30
Sao Hang co bao nhieu via tu nhien?,2 via,3 via,1 via,4 via,2 via,30
Sao Thuc co bao nhieu via tu nhien?,95 via,92 via,98 via,100 via,95 via,30
Thoi gian tu sinh cua Trai Dat den nay la bao nhieu?,4.6 ty nam,3.5 ty nam,5 ty nam,2 ty nam,4.6 ty nam,30
Loai dat nao o Viet Nam dung dien tich nhieu nhat?,Dat rem,Dat rung,Dat nong,Dat xay dung,Dat rem,30
Loai nong san nao o Viet Nam san xuat nhieu nhat?,Lua,Ngo,Khoai,Su su,Lua,30
Cay nong san nao cua Viet Nam xuat khau nhieu nhat?,Ca phe,Dau tram,Cau,Tieu,Ca phe,30
Nui lua cuoi cung hoat dong o Viet Nam la?,Nui Ta Chu,Nui Rang,Nui Chop,Nui Lon,Nui Ta Chu,30
Dich vu kinh te chinh cua Viet Nam la gi?,Nong lam thuy san,Cong nghiep,Du lich,Thi truong tai chinh,Nong lam thuy san,30
So luong de di o Viet Nam hien nay la bao nhieu trieu?,9 trieu,8 trieu,10 trieu,11 trieu,9 trieu,30
Co quan lap phap cua Viet Nam la?,Quoc Hoi,Chinh Phu,Toa An Toi Cao,UBND Tinh,Quoc Hoi,30
Co quan hanh chinh cua Viet Nam la?,Chinh Phu,Quoc Hoi,Toa An Toi Cao,Chi huy Quan Doan,Chinh Phu,30
Co quan tu phap cua Viet Nam la?,Toa An Toi Cao,Quoc Hoi,Chinh Phu,UBND,Toa An Toi Cao,30
Tong Bi Thu Dang Cong San Viet Nam duoc bau nhiem mua nay?,Nam nam,6 nam,7 nam,4 nam,Nam nam,30
Chu Tich Nuoc Viet Nam duoc bau nhiem bao lau?,7 nam,6 nam,5 nam,4 nam,7 nam,30
Tho Tuong Viet Nam duoc bau nhiem bao lau?,5 nam,4 nam,6 nam,7 nam,5 nam,30
Quoc Hoi Viet Nam co bao nhieu dai bieu?,500 dai bieu,400 dai bieu,600 dai bieu,450 dai bieu,500 dai bieu,30
Thanh lap Cong Hoa Xa Hoi Chu Nghia Viet Nam nam may?,1954,1955,1975,1976,1975,30
Ngay thong nhat Viet Nam la ngay may thang may?,30 thang 4,1 thang 5,2 thang 9,10 thang 10,30 thang 4,30
Ngay thanh lap Dang Cong San Viet Nam la ngay may?,3 thang 2,2 thang 9,3 thang 2,1 thang 5,3 thang 2,30
Hang cong ty trungg quoc phat trien nhieu nhat la?,Tencent,Alibaba,JD.com,Baidu,Tencent,30
Hang cong ty nhat ban phat trien nhieu nhat la?,Toyota,Honda,Sony,Mitsubishi,Toyota,30
Hang cong ty han quoc phat trien nhieu nhat la?,Samsung,LG,Hyundai,Kia,Samsung,30
Hang cong ty my phat trien nhieu nhat la?,Apple,Microsoft,Amazon,Google,Apple,30
Hang cong ty anh phat trien nhieu nhat la?,BP,Shell,HSBC,Unilever,BP,30
GDP cua My nam 2020 la bao nhieu ty USD?,21 ty,22 ty,20 ty,23 ty,21 ty,30
GDP cua Trungg Quoc nam 2020 la bao nhieu ty USD?,15 ty,14 ty,16 ty,17 ty,15 ty,30
GDP cua Nhat Ban nam 2020 la bao nhieu ty USD?,5 ty,4 ty,6 ty,7 ty,5 ty,30
GDP cua Duc nam 2020 la bao nhieu ty USD?,4 ty,3.5 ty,5 ty,4.5 ty,4 ty,30
GDP cua Han Quoc nam 2020 la bao nhieu ty USD?,1.6 ty,1.5 ty,1.7 ty,1.8 ty,1.6 ty,30
GDP cua Viet Nam nam 2020 la bao nhieu ty USD?,0.26 ty,0.25 ty,0.27 ty,0.28 ty,0.26 ty,30
GDP cua Indonesia nam 2020 la bao nhieu ty USD?,1.06 ty,1 ty,1.1 ty,1.2 ty,1.06 ty,30
GDP cua Thai Lan nam 2020 la bao nhieu ty USD?,0.5 ty,0.45 ty,0.55 ty,0.6 ty,0.5 ty,30
GDP cua Lao nam 2020 la bao nhieu ty USD?,0.019 ty,0.015 ty,0.025 ty,0.03 ty,0.019 ty,30
GDP cua Campuchia nam 2020 la bao nhieu ty USD?,0.027 ty,0.02 ty,0.03 ty,0.035 ty,0.027 ty,30
So nhan dan cua My hien nay la bao nhieu trieu?,330 trieu,320 trieu,340 trieu,350 trieu,330 trieu,30
So nhan dan cua Trungg Quoc hien nay la bao nhieu trieu?,1400 trieu,1300 trieu,1500 trieu,1600 trieu,1400 trieu,30
So nhan dan cua An Do hien nay la bao nhieu trieu?,1400 trieu,1300 trieu,1500 trieu,1200 trieu,1400 trieu,30
So nhan dan cua Indonesia hien nay la bao nhieu trieu?,270 trieu,260 trieu,280 trieu,290 trieu,270 trieu,30
So nhan dan cua Pakistan hien nay la bao nhieu trieu?,230 trieu,220 trieu,240 trieu,250 trieu,230 trieu,30
So nhan dan cua Brazil hien nay la bao nhieu trieu?,215 trieu,210 trieu,220 trieu,225 trieu,215 trieu,30
So nhan dan cua Nhat Ban hien nay la bao nhieu trieu?,125 trieu,120 trieu,130 trieu,135 trieu,125 trieu,30
So nhan dan cua Phap hien nay la bao nhieu trieu?,68 trieu,65 trieu,70 trieu,72 trieu,68 trieu,30
So nhan dan cua Duc hien nay la bao nhieu trieu?,83 trieu,80 trieu,85 trieu,87 trieu,83 trieu,30
So nhan dan cua Anh hien nay la bao nhieu trieu?,68 trieu,65 trieu,70 trieu,72 trieu,68 trieu,30
So nhan dan cua Han Quoc hien nay la bao nhieu trieu?,52 trieu,50 trieu,54 trieu,56 trieu,52 trieu,30
So nhan dan cua Thai Lan hien nay la bao nhieu trieu?,70 trieu,68 trieu,72 trieu,75 trieu,70 trieu,30
So nhan dan cua Lao hien nay la bao nhieu trieu?,7.3 trieu,7 trieu,7.5 trieu,8 trieu,7.3 trieu,30
So nhan dan cua Campuchia hien nay la bao nhieu trieu?,17 trieu,15 trieu,18 trieu,19 trieu,17 trieu,30
So nhan dan cua Myanmar hien nay la bao nhieu trieu?,54 trieu,52 trieu,56 trieu,58 trieu,54 trieu,30
So nhan dan cua Philippine hien nay la bao nhieu trieu?,112 trieu,110 trieu,114 trieu,116 trieu,112 trieu,30
So nhan dan cua Malaysia hien nay la bao nhieu trieu?,34 trieu,32 trieu,36 trieu,38 trieu,34 trieu,30
So nhan dan cua Singapore hien nay la bao nhieu trieu?,5.9 trieu,5.5 trieu,6 trieu,6.5 trieu,5.9 trieu,30
Nuoc nao duoc coi la dat nuoc sach nhat the gioi?,Iceland,Norway,Finland,New Zealand,Iceland,30
Nuoc nao duoc coi la dat nuoc giong xanh nhat the gioi?,Brazil,Canada,Iceland,Russia,Brazil,30
Nuoc nao duoc coi la dat nuoc co chat luong cuoc song cao nhat the gioi?,Norway,Sweden,Switzerland,Denmark,Norway,30
Nuoc nao duoc coi la dat nuoc co thu nhap binh quan cao nhat the gioi?,Luxembourg,Singapore,Qatar,Switzerland,Luxembourg,30
Nuoc nao duoc coi la dat nuoc co tu le mat thay thay cao nhat the gioi?,New Zealand,Australia,Canada,Singapore,New Zealand,30
Nuoc nao duoc coi la dat nuoc huong theo tuy qua,Iceland,Ireland,Denmark,Norway,Iceland,30
Nuoc nao duoc coi la dat nuoc co che do dan chu tot nhat the gioi?,Norway,Sweden,Canada,New Zealand,Norway,30
Nuoc nao duoc coi la dat nuoc duong tinh huong the gioi,Singapore,Hong Kong,Qatar,UAE,Singapore,30
Nuoc nao duoc coi la dat nuoc co phuong tien chung cao nhat the gioi?,Switzerland,Germany,France,Japan,Switzerland,30
Nuoc nao duoc coi la dat nuoc it tim co nhan dan tham nhap te nhat the gioi?,Mali,Chad,Niger,South Sudan,Mali,30
Nuoc nao duoc coi la dat nuoc co nhan dan tham nhap te nhat chau A?,Afghanistan,Yemen,Pakistan,Syria,Afghanistan,30
Nuoc nao duoc coi la dat nuoc co nhan dan tham nhap te nhat chau Au?,Moldova,Ukraine,Bosnia,Albania,Moldova,30
Nuoc nao duoc coi la dat nuoc co nhan dan tham nhap te nhat chau My?,Haiti,Bolivia,Honduras,Paraguay,Haiti,30
Nuoc nao duoc coi la dat nuoc co nhan dan tham nhap te nhat chau Phi?,Mozambique,Malawi,South Sudan,Burundi,Mozambique,30
Nuoc nao duoc coi la dat nuoc co nhan dan tham nhap te nhat chau Uc?,Kiribati,Marshall Islands,Nauru,Tuvalu,Kiribati,30
Dam phan co doc lap o Viet Nam da dien ra nam may?,1954,1955,1975,1976,1954,30
Dam phan Geneva nam 1954 duoc to chuc boi ai?,Phap,My,Anh,Sovjet,Phap,30
Treaty of Paris nam 1973 ky ket tim la Viet Nam va nuoc nao?,My,Phap,Anh,Duc,My,30
Hop dong Paris nam 1973 ky ket tim la kiep sau chien tranh Viet Nam va ai?,My,Phap,Anh,Duc,My,30
Quyet dinh 181 cua Lien Hop Quoc rang goi tu nam nao?,1947,1948,1945,1950,1947,30
Nuoc nao la nuoc dau tien cong nhan doc lap Viet Nam?,Phap,My,Trungg Quoc,Sovjet,Sovjet,30
Nuoc nao la nuoc dau tien co dung quan doi chuyen nghiep?,Ai Cap,Hy Lap,Rome,Assyria,Ai Cap,30
Nuoc nao la nuoc dau tien phat trien Cong Hoa Dan Chu?,Phap,Anh,My,Hoa Lan,My,30
Nuoc nao la nuoc dau tien phat trien He thong Sua Luu Hanh?,Anh,Phap,My,Nhap Ban,Anh,30
Nuoc nao la nuoc dau tien thi hanh Duong dua Tren la Luat Phap Luoc?,Phap,Anh,My,Duc,Phap,30
Nuoc nao la nuoc dau tien lap tao Ra He thong Ngan Hang Trung Uong?,Phap,Anh,Duc,Sweden,Anh,30
Nuoc nao la nuoc dau tien phung chan che do Nui Bao Chu Thuyen Do va Thoat,Anh,Phap,Duc,Hoa Lan,Anh,30
Nuoc nao la nuoc dau tien phung chan Che do Duc Su va Lap Co Tham Quyen La Thoat,Anh,Phap,Duc,Hoa Lan,Anh,30
Nuoc nao la nuoc dau tien san Xuat Dien La Tieu The Tung Lai Yen Goc,Phap,Anh,Duc,Hoa Lan,Duc,30
Nuoc nao la nuoc dau tien Da Cho Che do Khanh Co To Chuc Mien,,Phap,Anh,Duc,Hoa Lan,Anh,30
Nuoc nao la nuoc dau tien La Mat Cong Nghiep Hoa De Tao Hang Ma San Pham,Anh,Phap,Duc,Hoa Lan,Anh,30
Nuoc nao la nuoc dau tien Phat Trien He Thong Giao Due Cong Cong,Phap,Anh,Duc,Hoa Lan,Phap,30
